,Unnamed: 0,title,price,bedrooms,bathrooms,area,location
517,517,Mbizo - House,"$45,000",3 bedrooms,2 bathrooms,575 m²,kwekwe
518,518,Glen Lorne - House,"$275,000",4 bedrooms,3 bathrooms,2000 m²,harare north
519,519,Lake Chivero - House,"$90,000",not stated,not stated,2 bedrooms,lake chivero
520,520,Glen Lorne - House,"$550,000",4 bedrooms,3 bathrooms,5132 m²,harare north
521,521,Budiriro - House,"$43,000",6 bedrooms,2 bathrooms,300 m²,harare high density
522,522,Rolf Valley - Townhouse Complex,"$550,000",3 bedrooms,2 bathrooms,49800 m²,harare north
523,523,Riverside - House,"$70,000",3 bedrooms,not stated,2069 m²,gweru
524,524,Murambi - House,"$250,000",6 bedrooms,not stated,2800 m²,mutare
525,525,Gletwin Park - House,"$1,200,000",6 bedrooms,7 bathrooms,7165 m²,harare north
526,526,Goodhope - House,"$200,000",4 bedrooms,2 bathrooms,2000 m²,harare west
527,527,Sunway City - House,"$96,000",5 bedrooms,not stated,2004 m²,harare east
528,528,Kadoma - House,"$140,000",4 bedrooms,not stated,1115 m²,kadoma
529,529,"Hillside - House, Townhouse Complex","$65,000",1 bedrooms,1 bathrooms,800 m²,bulawayo south
530,530,Greendale - Townhouse Complex,"$180,000",2 bedrooms,not stated,2 bathrooms,harare east
